week_ending,type,avg_selling_price,total_bulk_and_bags_units,plu4046_units,plu4225_units,plu4770_units,total_bagged_units,sml_bagged_units,lrg_bagged_units,xlrg_bagged_units
2017-01-02,Conventional,0.89,38879717,12707895,14201201,549845,11420777,8551134,2802710,66934
2017-01-08,Conventional,0.99,38049803,11809728,13856935,539069,11844072,9332972,2432260,78841
2017-01-15,Conventional,0.98,38295489,12936859,12625666,579347,12153619,9445623,2638919,69078
2017-01-22,Conventional,0.94,42140394,14254151,14212882,908617,12764745,9462854,3231020,70872
2017-01-29,Conventional,0.96,39373580,14034076,11683465,818728,12837312,9918256,2799961,119096
2017-02-05,Conventional,0.77,61034458,22743617,20328162,1664384,16298297,12567156,3618271,112870
2017-02-12,Conventional,0.87,41077471,15051952,12184189,862323,12979009,9922490,2919325,137195
2017-02-19,Conventional,0.99,33905855,11321733,10351149,832907,11400068,8676990,2576167,146912
2017-02-26,Conventional,0.99,37007798,13173669,11398143,896762,11539225,8945889,2405734,187603
2017-03-05,Conventional,1.13,33684176,11335276,10807890,795174,10745837,8302601,2322678,120559
2017-03-12,Conventional,1.22,32020574,11228358,9575228,727234,10489757,8207586,2124295,157877
2017-03-19,Conventional,1.25,31595126,10975690,9622712,638218,10358506,8202243,2000177,156088
2017-03-26,Conventional,1.24,32555120,11737560,9664311,611106,10542144,8498318,1844372,199454
2017-04-02,Conventional,1.21,34468018,12245521,9733585,624710,11864203,9385517,2330301,148386
2017-04-09,Conventional,1.21,34785713,12091316,10821097,647970,11225333,8946793,2098143,180397
2017-04-16,Conventional,1.23,35182321,12311056,10069355,650018,12151895,9399105,2544943,207847
2017-04-23,Conventional,1.18,35729014,12236714,10224485,613508,12654310,9051467,3434847,167996
2017-04-30,Conventional,1.18,38315501,13316595,11291150,667997,13039761,9463811,3378924,197026
2017-05-07,Conventional,1.09,47293922,17076651,13549103,863472,15804697,11228050,4324232,252416
2017-05-14,Conventional,1.19,36634270,12807837,9717258,652974,13456202,10373348,2859414,223441
2017-05-21,Conventional,1.26,34397652,12120949,10213232,621604,11441867,8508443,2718686,214740
2017-05-28,Conventional,1.28,37030894,12841953,10932971,673385,12582587,9312240,3013460,256888
2017-06-04,Conventional,1.24,37352361,13248335,10157566,667067,13279395,10103008,2946265,230123
2017-06-11,Conventional,1.21,37039854,13490546,10090862,648411,12810036,9373422,3128714,307901
2017-06-18,Conventional,1.18,38247670,12975374,11199449,807108,13265741,9650859,3267492,347391
2017-06-25,Conventional,1.17,37305308,12901032,10805962,655966,12942349,9462414,3202254,277682
2017-07-02,Conventional,1.21,38010427,12623189,10988735,859890,13538614,10041244,3119709,377662
2017-07-09,Conventional,1.17,39367337,13009945,11031219,821965,14504210,11112406,3018281,373524
2017-07-16,Conventional,1.33,32455048,11155466,11202845,756104,9340634,6514900,2499386,326349
2017-07-23,Conventional,1.31,32608302,11391056,11339581,612243,9265423,6333889,2636617,294919
2017-07-30,Conventional,1.32,31756098,11112192,11088083,596677,8959148,6337458,2396439,225252
2017-08-06,Conventional,1.33,32529921,11292581,10988314,665313,9583714,6889926,2376270,317518
2017-08-13,Conventional,1.33,32817255,10952704,11154311,624964,10085277,6687662,3118890,278726
2017-08-20,Conventional,1.41,29913745,10507929,8837220,581075,9987522,6837127,2911555,238842
2017-08-27,Conventional,1.47,28785280,10735710,8587106,517542,8944923,6592504,2117566,234854
2017-09-03,Conventional,1.57,26808411,9775063,8565266,541903,7926180,5851815,1855971,218395
2017-09-10,Conventional,1.56,26385082,9496486,8373235,487927,8027436,6035667,1818833,172937
2017-09-17,Conventional,1.41,80110,3987,66935,34,9155,5290,3852,14
2017-09-24,Conventional,1.64,68540,2509,56024,75,9934,5392,4542,0
2017-10-01,Conventional,1.69,71206,4412,57417,78,9300,5070,4231,0
2017-10-08,Conventional,1.78,55369,3680,45844,43,5803,2149,3655,0
2017-10-15,Conventional,1.58,25031590,8769358,8534405,392120,7335708,5387870,1893511,54328
2017-10-22,Conventional,1.44,26706972,9607587,8761193,409599,7928594,6074597,1804540,49458
2017-10-29,Conventional,1.29,30237912,10596903,9803570,424756,9412684,6602083,2747520,63081
2017-11-05,Conventional,1.19,32051595,11042129,9774988,400251,10834228,7470395,3275464,88370
2017-11-12,Conventional,1.15,32336225,11512837,9994648,416643,10412097,7277327,3044847,89923
2017-11-19,Conventional,1.17,29253484,11173132,7847059,416186,9817108,6662322,3059627,95159
2017-11-26,Conventional,1.24,24686675,9175316,7312239,379637,7819483,5571801,2156887,90795
2017-12-03,Conventional,1.09,33824253,11746980,10905968,583801,10587491,7730801,2748622,108068
2017-12-10,Conventional,1.03,35634914,11943915,11659898,398349,11632753,8404956,3122651,105147
2017-12-17,Conventional,1.07,30757768,10704215,9934619,574090,9544846,7149681,2260603,134563
2017-12-24,Conventional,1.18,29102350,10027320,8964248,546374,9564409,7222271,2226795,115344
2018-01-01,Conventional,0.98,38267342,13109618,13197461,644838,11315426,8092356,3098374,124697
2018-01-07,Conventional,1.13,36703157,13730993,10781340,677715,11513110,8231767,3130920,150425
2018-01-14,Conventional,1.2,37299946,12600919,11866198,652809,12180021,8128242,3917570,134209
2018-01-21,Conventional,1.08,42939822,14218844,13929703,928816,13862461,9866219,3789723,206520
2018-01-28,Conventional,1.09,40171641,14551800,12119885,575975,12923982,9749413,3041126,133445
2018-02-04,Conventional,0.87,62505647,21620181,20445502,1066831,19373135,13384587,5719097,269451
2018-02-11,Conventional,0.97,43167807,15870678,11541845,652857,15102427,10844853,4023486,234090
2018-02-18,Conventional,1.08,36709888,13262752,10491919,552970,12402248,9023352,3151158,227739
2018-02-25,Conventional,1.06,40021529,13829858,10415464,724331,15051878,10666943,4081398,303537
2018-03-04,Conventional,1.07,40741215,14439548,11289308,571748,14440612,10832908,3339215,268490
2018-03-11,Conventional,1.09,40449604,14089092,10758040,707579,14894894,11392829,3229557,272509
2018-03-18,Conventional,1.05,41386315,13707390,11061052,645381,15972493,11712808,3988102,271584
2018-03-25,Conventional,1.03,43409836,14130800,12125712,758802,16394525,12540328,3544730,309468
2018-04-01,Conventional,1.1,41109689,13467729,10744042,732444,16165476,11826775,4055705,282996
2018-04-08,Conventional,1.04,42964068,13410252,13040704,737516,15775598,10948346,4555613,271640
2018-04-15,Conventional,1.03,47098678,15307340,13807127,894947,17089266,12283245,4522005,284017
2018-04-22,Conventional,1.04,44313980,14522578,12709403,722559,16359440,11850826,4207589,301026
2018-04-29,Conventional,1.07,43856759,14254037,13240109,744031,15618584,11122007,4208204,288373
2018-05-06,Conventional,0.89,63716145,21137401,19900872,1052500,21625373,15436247,5840415,348712
2018-05-13,Conventional,1,46371246,15432481,12367252,759856,17811659,13110017,4432537,269106
2018-05-20,Conventional,1.02,44458799,15391299,12092089,736112,16239300,11427677,4549193,262432
2018-05-27,Conventional,1.03,47105315,15644844,13548820,793659,17117993,11620664,5229856,267474
2018-06-03,Conventional,1.07,44705040,15241659,12611265,828738,16023379,11035194,4684091,304095
2018-06-10,Conventional,1.03,45613373,15949808,13691956,753787,15217824,11228600,3724801,264423
2018-06-17,Conventional,1.09,44009085,14909831,12904473,782044,15412739,11486169,3707919,218651
2018-06-24,Conventional,1.04,44742750,14643775,12717018,1110724,16271235,11708300,4262205,300731
2018-07-01,Conventional,1.05,45572740,14978440,12542938,969239,17082123,11945299,4934541,202285
2018-07-08,Conventional,1.03,47848190,14624444,14184133,1169256,17870358,12817173,4735853,317333
2018-07-15,Conventional,1.07,43126774,13457480,12125208,908600,16635487,11924571,4460657,250260
2018-07-22,Conventional,1.1,41906917,12371333,12486291,1075362,15973932,10179552,5511075,283306
2018-07-29,Conventional,1.12,40512783,11801093,12818315,622038,15271337,10400082,4639009,232247
2018-08-05,Conventional,1.15,39427667,12286514,11712661,715532,14712961,10184576,4256129,272257
2018-08-12,Conventional,1.12,40901951,12048458,12657831,881279,15314383,10707558,4270143,336683
2018-08-19,Conventional,1.13,40735733,12009247,11634726,1116319,15975443,11055174,4500205,420065
2018-08-26,Conventional,1.22,36867975,11171124,11286480,699011,13711362,9484136,3930112,297115
2018-09-02,Conventional,1.29,36169162,10916803,10880827,777528,13594005,9783861,3485419,324726
2018-09-09,Conventional,1.24,37484254,11028195,11898527,859247,13698287,9876855,3505979,315455
2018-09-16,Conventional,1.22,35609956,11598587,9716278,743852,13551241,9562608,3684647,303986
2018-09-23,Conventional,1.19,34866283,10635596,10368079,644555,13218055,9638334,3294143,285579
2018-09-30,Conventional,1.1,37588535,11693994,10028232,659679,15206632,11080363,3869003,257267
2018-10-07,Conventional,1.08,38061760,11931877,10220789,794612,15114484,11085672,3792436,236377
2018-10-14,Conventional,1.08,36869561,11397966,10293295,599008,14579294,10460715,3928695,189886
2018-10-21,Conventional,1.13,34002535,10104601,9817027,530699,13550209,9914170,3463121,172920
2018-10-28,Conventional,1.01,39402227,12142266,10845125,549491,15865347,11437563,4320345,107439
2018-11-04,Conventional,1.01,38363283,12420773,10192036,528278,15222198,10602849,4538744,80605
2018-11-11,Conventional,1,39042284,13355864,10385142,603033,14698246,10721368,3865597,111283
2018-11-18,Conventional,1.14,29871136,9719229,7271529,497405,12382974,9174636,3103023,105316
2018-11-25,Conventional,1.25,21855494,7140336,6021451,402866,8290843,6016143,2183011,91689
2018-12-02,Conventional,1.22,27652426,9516478,7462866,521911,10151173,7174282,2895344,81548
2019-01-07,Conventional,1.02,44749708,14377054,11890233,893722,17588701,12829494,4617814,141394
2019-01-13,Conventional,0.97,48088441,15500569,13443607,741411,18402855,12137098,6130318,135440
2019-01-20,Conventional,0.99,47145265,13843022,13453613,1328747,18519885,12840427,5419915,259544
2019-01-27,Conventional,1.03,43574810,14531450,11053097,830803,17159462,11231766,5628142,299555
2019-02-03,Conventional,0.84,62451515,19498920,17887807,1591801,23472989,15264524,7864298,344169
2019-02-10,Conventional,0.91,46702985,15056414,12025542,822703,18798329,12438638,6191153,168539
2019-02-17,Conventional,0.96,42664976,13572743,11372878,1306104,16413253,10553828,5603665,255762
2019-02-24,Conventional,0.98,43682566,13423018,12170265,1038106,17051179,11676382,5110695,264103
2019-03-03,Conventional,1,44402425,14607959,11158681,972116,17663671,11608929,5702350,352392
2019-03-10,Conventional,0.98,46192003,14299260,12096367,996824,18799554,12490685,5873049,435821
2019-03-17,Conventional,0.94,48744676,15417244,11325571,1404435,20597428,13377155,6718344,501931
2019-03-24,Conventional,0.99,47068806,14147439,13174262,1014093,18733013,11981190,6380777,371048
2019-03-31,Conventional,0.99,45361323,13981630,11271304,1101106,19007285,11327600,7451905,227780
2019-04-07,Conventional,0.97,49306987,14218226,12998359,1493001,20597402,12949531,7288682,359189
2019-04-14,Conventional,1.05,45956799,13116579,12746907,1181614,18911700,12002215,6411538,497948
2019-04-21,Conventional,1.27,39009981,11457332,9683823,1076013,16792815,10656050,5768551,368215
2019-04-28,Conventional,1.37,35223604,11547045,9044580,908430,13723550,8751302,4661548,310702
2019-05-05,Conventional,1.22,49213687,15439383,13655552,1033256,19085498,11663446,6985235,436818
2019-05-12,Conventional,1.24,43060976,13040338,11403252,890221,17726802,11266028,6092754,368020
2019-05-19,Conventional,1.29,38309263,11718600,10111449,909584,15569631,10410832,4907118,251682
2019-05-26,Conventional,1.31,40514871,11623030,10706873,824383,17360587,10942410,6110524,307654
2019-06-02,Conventional,1.23,43111486,11420786,11004957,1002654,19683090,11094954,7743207,844930
2019-06-09,Conventional,1.22,43111834,11656651,11308619,825154,19321412,10846856,7806416,668141
2019-06-16,Conventional,1.32,39221438,10842299,10280897,816708,17281535,10407245,6314651,559641
2019-06-23,Conventional,1.34,38628188,10625893,9968047,764158,17270092,9808035,6785758,676300
2019-06-30,Conventional,1.37,38035402,9799557,10371744,857121,17006981,10061619,6340093,605270
2019-07-07,Conventional,1.46,38883160,10153138,11262187,1019934,16447903,10234861,5496938,716105
2019-07-14,Conventional,1.47,34945477,9173283,9679714,754280,15338202,9764519,4958011,615673
2019-07-21,Conventional,1.5,33854235,8971164,9009256,857182,15016635,9310150,4989309,717176
2019-07-28,Conventional,1.47,34727443,9360276,8978734,948646,15439789,9477043,5252513,710234
2019-08-04,Conventional,1.41,35751882,10031522,8853238,789421,16077702,10217007,5217066,643629
2019-08-11,Conventional,1.34,37406701,9588931,9165180,907352,17745239,11187292,5806803,751145
2019-08-18,Conventional,1.32,37425680,10284042,9054932,780502,17306204,10721993,5880317,703895
2019-08-25,Conventional,1.23,39340252,11369009,8786181,834793,18350270,11207458,6397324,745489
2019-09-01,Conventional,1.23,40024360,10872366,9755444,760025,18636527,12555025,5394810,686693
2019-09-08,Conventional,1.23,38757176,11313321,8923954,809241,17710661,12047740,5059286,603635
2019-09-15,Conventional,1.21,38782070,10684606,8996309,539378,18561779,10979484,7166523,415773
2019-09-22,Conventional,1.2,37132650,10297740,8794974,561901,17478036,9839008,7246421,392608
2019-09-29,Conventional,1.15,39064518,10290945,9755175,562316,18456084,10562000,7553428,340657
2019-10-06,Conventional,1.12,39479784,9757039,9155131,833640,19733974,11293215,7958754,482006
2019-10-13,Conventional,1.11,38768169,10329902,9467626,710892,18259750,10580508,7098398,580845
2019-10-20,Conventional,1.07,38477322,9670777,8752202,675094,19378277,10546393,8378356,453529
2019-10-27,Conventional,1.04,39116433,10769297,8331286,617737,19398115,11075004,7790541,532571
2019-11-03,Conventional,1.04,37329537,10376833,7835072,598958,18518674,10710797,7268952,538927
2019-11-10,Conventional,1.01,39062078,10717154,8561348,714813,19068763,10984070,7410528,674164
2019-11-17,Conventional,1.02,37883934,10859987,7674135,586287,18763525,10882824,7272877,607824
2019-11-24,Conventional,1.06,34631238,9568975,7488155,647375,16926733,9572128,6756021,598584
2019-12-01,Conventional,1.05,31319054,9291631,6238096,585262,15204064,8665497,5986828,551739
2019-12-08,Conventional,0.96,39683132,11347724,8495658,732027,19106745,10559421,7946440,600885
2019-12-15,Conventional,1.02,35174365,9939947,7293253,544369,17396798,9907453,6998811,490534
2019-12-22,Conventional,1.03,34459835,10219145,6805135,695300,16740256,9193316,6983047,563894
2019-12-29,Conventional,0.92,39387850,11755126,7518141,695277,19419308,10764994,7997197,657118
2020-01-06,Conventional,0.97,46310706,13036249,10416875,845597,22010552,11649672,9670935,689946
2020-01-12,Conventional,0.97,46524779,13223760,8444075,627870,24227624,13241644,10377041,608940
2020-01-19,Conventional,0.93,48534973,13102980,10072455,949387,24408697,13606026,10056821,745851
2020-01-26,Conventional,1.01,43938473,12635231,7658266,611402,23032152,13202403,9280523,549228
2020-02-02,Conventional,0.85,63428865,17494333,13036383,1205864,31689189,17403575,13327601,958014
2020-02-09,Conventional,0.96,47887560,13668924,9377991,768747,24071900,12455684,10778545,837672
2020-02-16,Conventional,1.02,42730998,12495823,7867290,521607,21846281,11583696,9598984,663602
2020-02-23,Conventional,1.01,45009240,12700929,7811582,685824,23810907,13227464,9952407,631037
2020-03-01,Conventional,1.09,43500149,12625972,7765152,455852,22652393,12883795,9241499,527100
2020-03-08,Conventional,1.13,44303012,13057778,7639124,370265,23235647,14122436,8492347,620865
2020-03-15,Conventional,1.16,51540126,14968569,8766718,452356,27352452,16100500,10631016,620938
2020-03-22,Conventional,1.16,48981847,15236175,8484264,425087,24836314,14431166,9912372,492777
2020-03-29,Conventional,1.19,46381648,14113617,8477723,419459,23370634,14907230,7758314,705092
2020-04-05,Conventional,1.15,50361126,16273298,9157285,486271,24444068,16146225,7530462,767382
2020-04-12,Conventional,1.2,47850538,15337308,8657850,527483,23327707,15385869,7030808,911032
2020-04-19,Conventional,1.14,50089192,15371298,8761488,661171,25295052,16144251,8128236,1022565
2020-04-26,Conventional,1.15,52015535,15237699,10580032,740328,25457283,16664185,7797365,995734
2020-05-03,Conventional,1.03,62179376,19308948,11026478,715302,31128391,20550407,9682199,895785
2020-05-10,Conventional,1.09,58463221,17894356,11123424,837610,28607618,18739692,8992206,875722
2020-05-17,Conventional,1.16,51690122,15951220,9221699,728026,25788841,16896406,7972085,920350
2020-05-24,Conventional,1.11,56769152,17107525,9947892,854508,28858999,18426503,9218375,1214120
2020-05-31,Conventional,1.07,57509313,16286759,11346382,887011,28989020,18664351,9081422,1243247
2020-06-07,Conventional,1.08,54532348,16718884,9757798,1100945,26954602,17522596,8376733,1055273
2020-06-14,Conventional,1.06,55007945,15510458,11019342,978710,27499330,17969207,8331756,1198367
2020-06-21,Conventional,1.08,52151484,15717884,9295728,950152,26187643,17715892,7164225,1307527
2020-06-28,Conventional,1.04,51723710,14685425,9247458,927274,26863385,17913819,7768051,1181516
2020-07-05,Conventional,1.06,55608057,16678147,9939270,1060184,27930346,18487695,8039468,1403185
2020-07-12,Conventional,1.04,51081493,14418173,9424288,922495,26316385,16876197,8388110,1052079
2020-07-19,Conventional,1.01,51962254,14222877,9856364,1213973,26668838,16933311,8622285,1113243
2020-07-26,Conventional,0.99,52057099,15169237,9651069,1134316,26102351,16765181,8237759,1099413
2020-08-02,Conventional,1.01,49849472,13724125,9268800,804154,26052278,16792675,8136064,1123541
2020-08-09,Conventional,1.01,49948468,13513741,9764853,830359,25839423,16843685,8164954,830785
2020-08-16,Conventional,0.98,50813603,14074483,9665481,793921,26279532,16868012,8677564,733956
2020-08-23,Conventional,0.96,51973374,14803099,8762149,852991,27554964,17865771,8887593,801601
2020-08-30,Conventional,0.95,50629757,14004361,9228078,810539,26586635,16888981,9010326,687329
2020-09-06,Conventional,0.97,51000909,14687223,8956686,793983,26562813,17244013,8568614,750187
2020-09-13,Conventional,0.94,49198203,14171359,8366191,933951,25726323,17408244,7581719,736361
2020-09-20,Conventional,0.94,47745998,13176443,8352556,780048,25436829,16258772,8508787,669271
2020-09-27,Conventional,0.96,46413055,12606614,9042612,686913,24076919,14865026,8571500,640394
2020-10-04,Conventional,0.96,46148477,12440282,8437296,522110,24748791,14994668,9079498,674625
2020-10-11,Conventional,0.95,46520088,12937426,8425187,578076,24579401,15629761,8219558,730084
2020-10-18,Conventional,0.94,44682651,11872017,8134689,652678,24023269,15436914,7714796,871560
2020-10-25,Conventional,0.91,45104349,12168146,8181874,858412,23895919,15094674,7926044,875201
2020-11-01,Conventional,0.92,45163179,11833946,7967112,689010,24673112,15077200,8700049,895865
2021-01-11,Conventional,0.905623095,47540668,19717726,13821560,1601932,12399452,NA,NA,NA
2021-01-17,Conventional,0.911708898,49092327,20983607,13891597,2004005,12213119,NA,NA,NA
2021-01-24,Conventional,0.908693419,48336073,19484801,15165432,1822707,11863134,NA,NA,NA
2021-01-31,Conventional,0.918057846,49231054,21438436,14264884,1139275,12388460,NA,NA,NA
2021-02-07,Conventional,0.813186099,60346459,26410888,18105899,2208951,13620722,NA,NA,NA
2021-02-14,Conventional,0.895426177,47465204,19708325,13982484,1694674,12079723,NA,NA,NA
2021-02-21,Conventional,0.952354546,43127604,18335422,12667636,1076140,11048408,NA,NA,NA
2021-02-28,Conventional,0.886172823,49032765,21230552,14414409,1718033,11669772,NA,NA,NA
2021-03-07,Conventional,0.953540111,47093865,18949052,13643200,1476826,13024788,NA,NA,NA
2021-03-14,Conventional,0.97241496,46783413,19802962,13130322,1314239,12535891,NA,NA,NA
2021-03-21,Conventional,0.990004128,45504101,18174171,13774423,1654247,11901262,NA,NA,NA
2021-03-28,Conventional,1.050784908,45516826,17816510,13203436,1565182,12931699,NA,NA,NA
2021-04-04,Conventional,1.146692056,42844699,17500658,11550013,1466354,12327676,NA,NA,NA
2021-04-11,Conventional,1.135257059,42207726,18331638,10882959,1129632,11863499,NA,NA,NA
2021-04-18,Conventional,1.155045037,43526966,19072446,10876286,1216670,12361565,NA,NA,NA
2021-04-25,Conventional,1.150997831,43128786,19174950,10473688,1135042,12345107,NA,NA,NA
2021-05-02,Conventional,1.040136924,50293812,24096073,12617890,1207202,12372648,NA,NA,NA
2021-05-09,Conventional,1.110132479,46390889,20450568,12254943,1337125,12348254,NA,NA,NA
2021-05-16,Conventional,1.125588757,42739598,17842008,11620716,1336177,11940698,NA,NA,NA
2021-05-23,Conventional,1.111867715,43329270,17971382,12080603,1208351,12068937,NA,NA,NA
2021-05-30,Conventional,1.15263263,43862046,19000961,11582042,1247814,12031231,NA,NA,NA
2021-06-06,Conventional,1.121948397,43762591,18537430,11958837,1131849,12134477,NA,NA,NA
2021-06-13,Conventional,1.122242439,43304403,18071298,11612352,1250275,12370480,NA,NA,NA
2021-06-20,Conventional,1.131226702,43696049,17668730,13056453,1366983,11603883,NA,NA,NA
2021-06-27,Conventional,1.10584696,42504705,18195706,11776430,1384264,11148306,NA,NA,NA
2021-07-04,Conventional,1.106277117,44900701,18514976,12819463,1627162,11939101,NA,NA,NA
2021-07-11,Conventional,1.041122488,44418151,19105045,12031037,1387098,11894973,NA,NA,NA
2021-07-18,Conventional,1.031246674,44267757,17369382,12172723,1790074,12935579,NA,NA,NA
2021-07-25,Conventional,1.055529176,42167176,16760101,11953370,1658148,11795559,NA,NA,NA
2021-08-01,Conventional,1.084808056,40900448,16321142,11761725,1364759,11452823,NA,NA,NA
2021-08-08,Conventional,1.075865072,41213495,16675972,12042164,1376950,11118411,NA,NA,NA
2021-08-15,Conventional,1.087515919,40555746,15909127,12144088,1427713,11074819,NA,NA,NA
2021-08-22,Conventional,1.081316925,40045323,16364467,10996837,1138516,11545505,NA,NA,NA
2021-08-29,Conventional,1.079841649,40250741,16545799,11589166,1156555,10959224,NA,NA,NA
2021-09-05,Conventional,1.093032878,40547414,16704701,10549142,1069725,12223848,NA,NA,NA
2021-09-12,Conventional,1.144944624,37744434,16445969,9257844,1187754,10852869,NA,NA,NA
2021-09-19,Conventional,1.159895841,36953582,17109994,8204875,1037491,10601224,NA,NA,NA
2021-09-26,Conventional,1.164240627,37044008,17573483,7820222,973574,10676731,NA,NA,NA
2021-10-03,Conventional,1.156233008,37503466,18632241,7494836,1097497,10278894,NA,NA,NA
2021-10-10,Conventional,1.174655978,37545419,18174570,7596117,1134726,10640008,NA,NA,NA
2021-10-17,Conventional,1.147504808,37206701,17776093,7117737,1068987,11243885,NA,NA,NA
2021-10-24,Conventional,1.129399147,36975940,17881817,7786177,1085704,10222245,NA,NA,NA
2021-10-31,Conventional,1.110799268,37095733,17884910,7483785,993810,10733230,NA,NA,NA
2021-11-07,Conventional,1.088294433,38369372,17961145,8735144,910845,10762240,NA,NA,NA
2021-11-14,Conventional,1.120334555,37186465,16922827,8225080,938012,11100548,NA,NA,NA
2021-11-21,Conventional,1.160984184,34198812,16099479,7309445,964755,9825135,NA,NA,NA
2021-11-28,Conventional,1.153848989,31082608,15430052,6227857,835082,8589619,NA,NA,NA
2021-12-05,Conventional,1.070544416,38190147,19058781,8396068,1007547,9727753,NA,NA,NA
2021-12-12,Conventional,1.10041296,37186010,18214642,7699490,952303,10319577,NA,NA,NA
2021-12-19,Conventional,1.15750219,34296471,16264029,7154095,888303,9990046,NA,NA,NA
2021-12-26,Conventional,1.17199151,33617885,15799068,6851519,902709,10064590,NA,NA,NA
2022-01-02,Conventional,1.02039976,44371659,22411435,9877500,1574448,10508277,NA,NA,NA
2022-01-10,Conventional,1.128283376,42307852,20806484,9021980,1240165,11239225,NA,NA,NA
2022-01-16,Conventional,1.223383045,42172189,20938763,8258725,1117698,11857004,NA,NA,NA
2022-01-23,Conventional,1.246227871,39929187,19307472,8280963,1330303,11010450,NA,NA,NA
2022-01-30,Conventional,1.230801452,42589423,21120728,9006883,1330465,11131348,NA,NA,NA
2022-02-06,Conventional,1.247605212,42098794,21811967,7533196,1114719,11638914,NA,NA,NA
2022-02-13,Conventional,1.15225973,54840042,30392741,9972895,1728009,12746399,NA,NA,NA
2022-02-20,Conventional,1.223861231,43069702,23277598,7243926,1274728,11273451,NA,NA,NA
2022-02-27,Conventional,1.3004018,40511721,19743511,8145953,1089330,11532928,NA,NA,NA
2022-03-06,Conventional,1.349801541,37741844,19217108,6759176,974245,10791316,NA,NA,NA
2022-03-13,Conventional,1.359600689,38789288,20696909,6448625,1045299,10598456,NA,NA,NA
2022-03-20,Conventional,1.34575158,37612474,19792521,5934041,1129256,10756657,NA,NA,NA
2022-03-27,Conventional,1.376360384,38884368,20380939,6393579,1059287,11050565,NA,NA,NA
2022-04-03,Conventional,1.358072247,39780835,20899538,6709110,981906,11190283,NA,NA,NA
2022-04-10,Conventional,1.348293874,41480614,21343911,6953927,907028,12275749,NA,NA,NA
2022-04-17,Conventional,1.438111539,38444783,19387852,6642635,851216,11563081,NA,NA,NA
2022-04-24,Conventional,1.431261478,36545753,19002630,6139542,752099,10651484,NA,NA,NA
2022-05-01,Conventional,1.340661324,45249229,24800453,7517299,908407,12023071,NA,NA,NA
2022-05-08,Conventional,1.418107651,41827170,22633830,6720667,1187534,11285140,NA,NA,NA
2022-05-15,Conventional,1.509555333,36518137,19779894,5530057,963941,10244247,NA,NA,NA
2022-05-22,Conventional,1.54079325,35674051,19202504,5632158,694217,10145174,NA,NA,NA
2022-05-29,Conventional,1.542102996,36469777,20373525,5876003,596125,9624125,NA,NA,NA
2022-06-05,Conventional,1.48051536,38573929,20959887,7068980,547381,9997682,NA,NA,NA
2022-06-12,Conventional,1.462536188,37638613,20571583,6189564,687474,10189994,NA,NA,NA
2022-06-19,Conventional,1.466990613,37450283,19537628,7085080,869371,9958205,NA,NA,NA
2022-06-26,Conventional,1.47618483,35562857,18564146,6534941,1087010,9376761,NA,NA,NA
2022-07-03,Conventional,1.465246235,36727388,18156607,7560398,1426663,9583721,NA,NA,NA
2022-07-10,Conventional,1.425169633,36856081,18424234,6991076,1421630,10019142,NA,NA,NA
2022-07-17,Conventional,1.37455182,38738536,18520127,7987840,2032074,10198495,NA,NA,NA
2022-07-24,Conventional,1.362678675,37607550,18247641,6898853,1953381,10507677,NA,NA,NA
2022-07-31,Conventional,1.327748416,37776376,17729984,7947090,1679182,10420121,NA,NA,NA
2022-08-07,Conventional,1.30187616,37822446,17765737,7268906,1704350,11083455,NA,NA,NA
2022-08-14,Conventional,1.241710046,38631514,17502297,7708868,2115838,11304512,NA,NA,NA
2022-08-21,Conventional,1.241480901,37166437,16950701,8175505,2058873,9981359,NA,NA,NA
2022-08-28,Conventional,1.210470166,37884258,18628508,7631747,1624965,9999039,NA,NA,NA
2022-09-04,Conventional,1.180044111,40194487,19024812,8396892,2801180,9971604,NA,NA,NA
2022-09-11,Conventional,1.181112357,37832979,17373415,8158140,2530028,9771397,NA,NA,NA
2022-09-18,Conventional,1.105123545,39359660,20443885,7891510,1597024,9427242,NA,NA,NA
2022-09-25,Conventional,1.099588565,37744797,17738916,8802909,1735044,9467929,NA,NA,NA
2022-10-02,Conventional,1.111697573,35582959,16397235,7846703,1792076,9546946,NA,NA,NA
2022-10-09,Conventional,1.114724205,37772504,17925802,8691726,1703491,9451487,NA,NA,NA
2022-10-16,Conventional,1.073541599,36576197,16934510,7487743,1254679,10899265,NA,NA,NA
2022-10-23,Conventional,1.059045942,39468930,18314815,9239676,1682382,10232058,NA,NA,NA
2022-10-30,Conventional,1.041283725,38262005,17216827,8916383,1590098,10538698,NA,NA,NA
2022-11-06,Conventional,1.016626445,40541614,18749444,9073943,1305399,11412830,NA,NA,NA
2022-11-13,Conventional,1.025719744,38848171,17414635,9622141,906621,10904775,NA,NA,NA
2022-11-20,Conventional,1.060307678,34706185,15619657,7594318,1016586,10475624,NA,NA,NA
2022-11-27,Conventional,1.058220557,31923153,14728440,7255189,888321,9051205,NA,NA,NA
2022-12-04,Conventional,1.026653164,38604873,17656010,10154655,914302,9879908,NA,NA,NA
2022-12-11,Conventional,0.987125239,38758874,18575916,8985626,1344149,9853184,NA,NA,NA
2022-12-18,Conventional,0.994066543,36758553,16411410,9508015,1007679,9831452,NA,NA,NA
2022-12-25,Conventional,1.037269881,35482988,15358728,8592621,1089524,10442117,NA,NA,NA
